rw_mix,size,latency_ns,bandwidth_MBps
allreads,1,1.43,772775.6
allreads,2,1.36,1084531.3
allreads,4,1.77,1076464.0
allreads,8,1.13,1583536.5
allreads,16,1.33,1472858.4
allreads,32,1.75,1196515.9
allreads,64,5.27,845245.2
allreads,128,5.69,844290.9
allreads,256,5.77,842624.5
allreads,512,9.72,748251.1
allreads,1024,23.51,417483.1
allreads,2048,146.81,238794.2
allreads,4096,185.97,127637.8
allreads,8192,205.72,70215.2
allreads,16384,207.52,70274.1
allreads,32768,209.36,70632.1
allreads,65536,208.37,70584.9
allreads,131072,207.61,70905.3
allreads,262144,211.06,70506.7
allreads,524288,208.01,70356.2
allwrites,1,1.67,719447.6
allwrites,2,1.39,1059652.2
allwrites,4,1.62,1196473.1
allwrites,8,1.33,1373426.8
allwrites,16,1.32,1421986.1
allwrites,32,2.33,1138476.5
allwrites,64,5.37,808016.0
allwrites,128,5.42,816260.6
allwrites,256,4.99,809820.1
allwrites,512,10.30,728706.3
allwrites,1024,24.40,433417.7
allwrites,2048,148.96,233938.6
allwrites,4096,184.75,126469.4
allwrites,8192,206.98,70651.3
allwrites,16384,208.29,70576.1
allwrites,32768,208.92,70128.5
allwrites,65536,208.19,70581.3
allwrites,131072,207.65,70548.0
allwrites,262144,210.48,70359.1
allwrites,524288,236.05,65559.9
r70w30,1,1.54,764911.8
r70w30,2,1.36,1070560.9
r70w30,4,1.48,1193546.7
r70w30,8,1.34,1366541.7
r70w30,16,1.29,1466866.0
r70w30,32,2.23,1167914.3
r70w30,64,5.42,833449.6
r70w30,128,5.22,831797.1
r70w30,256,5.47,836614.7
r70w30,512,9.39,755568.2
r70w30,1024,23.99,437365.4
r70w30,2048,150.26,235640.4
r70w30,4096,185.49,126903.9
r70w30,8192,208.23,70837.5
r70w30,16384,208.59,70969.9
r70w30,32768,207.77,70376.0
r70w30,65536,207.07,71103.8
r70w30,131072,209.45,71028.2
r70w30,262144,262.02,58168.1
r70w30,524288,222.23,69095.6
r50w50,1,1.68,733955.7
r50w50,2,1.34,1071068.6
r50w50,4,1.66,1152955.5
r50w50,8,1.26,1404448.9
r50w50,16,1.33,1431265.2
r50w50,32,1.57,1154663.1
r50w50,64,5.17,809305.4
r50w50,128,5.29,826440.1
r50w50,256,5.40,813565.9
r50w50,512,10.20,736396.2
r50w50,1024,26.40,431409.4
r50w50,2048,150.63,232633.6
r50w50,4096,188.85,123205.2
r50w50,8192,210.34,70024.6
r50w50,16384,220.40,66992.9
r50w50,32768,208.28,69090.1
r50w50,65536,202.25,67242.4
r50w50,131072,208.43,71085.4
r50w50,262144,206.90,70898.6
r50w50,524288,210.75,69819.8



