config,run,iters,runtime_seconds
single_no_affinity,1,1706000000,,5.002131
single_taskset_0,1,1703000000,,5.002145
two_no_affinity_run1,1,1655000000,,5.001814
two_no_affinity_run2,1,1657000000,,5.001177
two_same_core_run2,1,849000000,,5.006535
two_same_core_run1,1,847000000,,5.001259
two_diff_core_run1,1,1656000000,,5.001255
two_diff_core_run2,1,1658000000,,5.002110
single_no_affinity,2,1703000000,,5.001445
single_taskset_0,2,1686000000,,5.000279
two_no_affinity_run2,2,1682000000,,5.000516
two_no_affinity_run1,2,1678000000,,5.001641
two_same_core_run2,2,848000000,,5.005226
two_same_core_run1,2,851000000,,5.002892
two_diff_core_run1,2,1663000000,,5.000918
two_diff_core_run2,2,1667000000,,5.003039
single_no_affinity,3,1697000000,,5.002519
single_taskset_0,3,1709000000,,5.002601
two_no_affinity_run1,3,1664000000,,5.002831
two_no_affinity_run2,3,1650000000,,5.001278
two_same_core_run2,3,848000000,,5.000910
two_same_core_run1,3,849000000,,5.003061
two_diff_core_run1,3,1662000000,,5.002921
two_diff_core_run2,3,1673000000,,5.001542
single_no_affinity,4,1700000000,,5.002800
single_taskset_0,4,1698000000,,5.000069
two_no_affinity_run2,4,1662000000,,5.001425
two_no_affinity_run1,4,1668000000,,5.001811
two_same_core_run2,4,844000000,,5.003069
two_same_core_run1,4,843000000,,5.002672
two_diff_core_run1,4,1663000000,,5.000682
two_diff_core_run2,4,1667000000,,5.002100
single_no_affinity,5,1707000000,,5.000445
single_taskset_0,5,1683000000,,5.000073
two_no_affinity_run1,5,1667000000,,5.002092
two_no_affinity_run2,5,1670000000,,5.000203
two_same_core_run2,5,843000000,,5.000131
two_same_core_run1,5,846000000,,5.001563
two_diff_core_run1,5,1890000000,,5.001482
two_diff_core_run2,5,1864000000,,5.000345
