pattern,stride,run,runtime_seconds
seq,1,1,0.124046
seq,1,2,0.117093
seq,1,3,0.116601
stride,1,1,0.112074
stride,1,2,0.115914
stride,1,3,0.122253
stride,2,1,0.100301
stride,2,2,0.094393
stride,2,3,0.099372
stride,4,1,0.123956
stride,4,2,0.105969
stride,4,3,0.092876
stride,8,1,0.096131
stride,8,2,0.115665
stride,8,3,0.129241
stride,16,1,0.109874
stride,16,2,0.109018
stride,16,3,0.110338
stride,32,1,0.061176
stride,32,2,0.059677
stride,32,3,0.055966
stride,64,1,0.023464
stride,64,2,0.023300
stride,64,3,0.024858
stride,128,1,0.012070
stride,128,2,0.011412
stride,128,3,0.011902
rand,0,1,2.881784
rand,0,2,3.144561
rand,0,3,3.019240
